sentences,labels
PROFISSIONAIS EDUCAR  ATENCIOSO    IMPORTANTE   PROBLEMA  RESOLVER    PROFISSIONAL ENVOLVIDO   PARABEM  OBRIGAR ,1
NAO  CONDICAO  RESPONDER   PESQUISAR     PARECER PROMETER PELAR AREA TECNICO  EXPLICAR   SOLUCAO  ATE     PROVISORIO    ELEMENTO  APRESENTAR   AVALIACAO SO   NEGATIVO      REYNALDO TAYLOR,2
CHAMADO NAO  RESOLVER  APESAR  EXPLICAR   NECESSIDADE  PRIVILEGIO  ADMINISTRADOR PARIR  NOTEBOOK  DEVER   FATO  TRABALHAR  UMAR GERENCIA TECNICO  PRESTO SUPORTAR  AREA  AUTOMACAO   ATENDENTE NAO CONCEDER  PRIVILEGIO ,2
 CHAMAR  ENCERRAR COMER CONCLUIR  POREM   RAMAL CONTINUAR CONSTAR  CONTAR TELEFONICA  CE ,2
HOUVE UMAR DEMORAR PARIR  SOLUCAO  PROBLEMA ,2
DEMORA RELATIVAMENTE ALTO PARIR RESOLUCAO    VITAL ,2
 INFORMAR   SKYPE NAO   INSTALAR  DESKTOP ,0
AGUARDANDO PARECER  GERENTE   UNIDADE ,0
 PRINCIPIO  RESOLVER  SO    MES  VIR   VIR CORRETAR ,0
EXCELENTE  ATENDIMENTO  TECNICO RICARDO NOGUEIRA ERBE ,1
CONCLUIRAM  CHAMAR  VERIFICAR   PROBLEMA  RESOLVER  ACABEI  CHECAR  PERMANECER  SOLUCAO ,2
 MICROCOMPUTADOR  MESA CORPORATATIVO  MI00206088 NAO  RETIRAR  CHAVE MO18  CONSTAR  DSP  MARCO15  GERENCIA UOES  PRDC  PRDCTER ,2
COPIO   EMAIL  BEATRIZ     CONTINUIDADE   INCIDENTE   NAO  IDENTIFICAR  PROBLEMA    RESOLVER     RE  ENC  PROBLEMA OCORRER DURANTE  ULTIMO CURSAR SINPRO    ANA BEATRIZ CASTELLAR FERRO  CARVALHO  PRESTSERV    RH  UP  CRJ    02062015 1735      FLAVIO AGOSTINHO SILVA    CC     ANNA AMELIA PAULA GOMES  OLIVEIRA AMBROSIO  JOSE    ROZENDO  SILVA NETO  OVIDIO ANTONIO BASTOS GOULART  ALEX    MOREIRA  SILVA  PRESTSERV  LUCIA HELENA MASSENA      MENSAGEM  ASSINAR DIGITALMENTE     PREZADOS      CONTATO   ALEX MOREIRA  SUPERVISOR  EQUIPAR  TIC   FICAR ESCLARECER   REDAR     EDICIN REALMENTE  APRESENTAR PROBLEMA TECNICO    FICAR  LENTO       SOLUCAO APRESENTAR PELAR EQUIPAR  TIC  SERIAR  INSTALACAO LOCAR PARIR ACESSAR     CITRIX   REDAR   PROCEDIMENTO     HORARIO ALTERNATIVO  APOS  TERMINO      DIA  CURSAR  CASAR  SOLICITAR   APOIAR  EVENTO  BEATRIZ  A2D7         ALINHAR UMAR PARCERIA PARIR  NAO HAVER    PROBLEMA  PROXIMO CURSO     VIR CONVIDAR  EQUIPAR  SINPRO PARIR  PROXIMO DIA 050615 REALIZAR  TESTE JUNTAMENTE      EQUIPAR  TIC  EDICIN    REPRESENTAR   TECNICO DESIGNAR PELAR SUPERVISOR    ALEX  X955    LER  COPIA     AGUARDO RETORNAR     BEATRIZ CASTELLAR    ROTA  8013597    TEL   21  34873597    FLAVIO AGOSTINHO SILVA ANA  BOM DIA  GENTILEZA ENCAMINHAR    02062015 115043      FLAVIO AGOSTINHO SILVA  BRA  PETROBRAS      ANA BEATRIZ CASTELLAR FERRO  CARVALHO  PRESTSERV  BRA  PETROBRASPETROBRAS     DATA  02062015 1150    ASSUNTO  ENC  PROBLEMA OCORRER DURANTE P ULTIMO CURSAR SINPRO    ANA     BOM DIA  GENTILEZA ENCAMINHAR  EMAIL PARIR  RESPONSAVEL TIC  UP   SUPORTAR      SUPRACITAR CURSAR PARIR  TOMAR  PROVIDENCIA JUNTAR  DEMANDANTE       COPIAR    EMAIL PARIR    ACOMPANHAR  PROCESSAR ATE RESOLVER     PROBLEMA     GRATO     FLAVIO AGOSTINHO SILVA    ENGENHEIRO  PROCESSAMENTO PLENO    UNIVERSIDADE PETROBRAS  RH  UP  ECTEP  PCPROD    AV  TANCREDO NEVES  1367  EDIFICIO CIVIL TRADE  9 DEG ANDAR  SALA 912     CEP  41820021  SALVADOR  BA  BRASIL    ROTA  RAMAL  8225337  EXTERNO   71  37975337    EMAIL  FLAVIOAGOSTINHOPETROBRASCOMBR     REPASSADO  FLAVIO AGOSTINHO SILVA  BRA  PETROBRAS  02062015 1147       ANNA AMELIA PAULA GOMES  OLIVEIRA AMBROSIO  BRA  PETROBRAS      FLAVIO AGOSTINHO SILVA  BRA  PETROBRASPETROBRAS     CC  JOSE ROZENDO  SILVA NETO  BRA  PETROBRASPETROBRAS  OVIDIO ANTONIO BASTOS    GOULART  BRA  PETROBRASPETROBRAS    DATA  01062015 1337    ASSUNTO  PROBLEMA OCORRER DURANTE P ULTIMO CURSAR SINPRO    FLAVIO       ALGUM DIA  CURSAR  PROBLEMA  RELACAO   ACESSO  PC  S  UNIVERSIDADE    PETROBRAS PARIR  CITRIX    IMPACTAR  ACESSO   PROGRAMAR  SINPRO      NAO CONSEGUIR DIAGNOSTICAR    ACONTECER     UP  ACONTECER      NAO  ALAR  RELACAO       PARALELAMENTE  TESTE   CENPES  TB  UORIO   LENTIDAO  RESPOSTAR NAO    ACONTECER      OUTRO ALTERNATIVO      SETUP  INSTALACAO     GERAR IMPACTAR TAO      ANDAMENTO  CURSAR  UMAR     PARAR ATE    PROGRAMAR     INSTALAR  MAQUINA  PARTICIPANTE    DECIDIR TOCAR  CURSAR CONFORMAR     CITRIX PERMITIR  PASSAR PARIR   DISCUSSAO    CAIR  VOLTAR   EXERCICIO      REDAR  ESTABELECER   GUARDAR  PROBLEMA PARIR RESOLVER     CURSAR             GOSTARIA    APOIAR PARIR ENCONTRAR  PESSOA RESPONSAVEL PELAR INFRA TIC  UP  PARIR       TESTE     CASAR PEDIR  UPGRADE  CLIENT CITRIX  PC  S DESTINAR      CURSAR     COPIO  JOSE ROZENDO  UP  RIO   OVIDIO    TIC  TRABALHAR  EQUIPAR SINPRO N  EMAIL     AGUARDO  RETORNAR     ANNA AMELIA PAULA GOMES  OLIVEIRA AMBROSIO  M SC     ENGA  PROCESSAMENTO PL     CENPES  EBE  P  EPEP    CENPES EXPANSAO  JARDIM ESCRITORIO 3  3O ANDAR    TEL21  38655070  ROTA 712    ANNAAMELIAPETROBRASCOMBR  UPU3 ,2
TOTAL 110 ,1
 NOTO 5    PARIR  TECNICO    ATENDIMENTO    PERFEITO  ATENCIOSO  RESOLVER  PROBLEMA    SERVICO HAVER  SOLICITAR  DIA ANTERIOR  CHEGAR  LIGAR PARIR  881   VEZAR     MICRO PARAR  NAO HAVER OUTRO DISPONIVEL PARIR   NORMALMENTE  ATENDIMENTO  RAPIDO  NAO ENTENDER   ACONTECER ,1
DEMORA  RETORNAR  RESPOSTAR ,2
EXCELENTE ATENDIMENTO,1
 COLABORADOR ADEMIR SUPERAR  ATENDIMENTO  EXPECTATIVA  CLIENTE        EFICIENTE  EFICAZ  ATENDIMENTO  DEMANDAR  CLIENTE ,1
ATENDIMENTO RAPIDO  EFICIENTE,1
FINEZA CONCLUIR CHAMAR    TECNICO UTILIZAR  TOMAR  IMPRESSOR PARIR INSTALAR  MICRO    IMPEDIR  ATIVIDADES  SETOR ,2
 ATENDIMENTO   EXCELENTE  POREM  ATENDENDENTE NAO  PERMISSAO PARIR  RESOLUCAO  PARABENIZAR  EFICI  ENCIA  ATENDIMENTO ,0
  ORIENTACAO  TECNICO    DEVER CRIAR UMAR  VARIANTE   CITAR   PROPRIO   RECRIAR VARIOS VARIANTE   UTILIZAR  SUAR ATIVIDADES  POREM  INSISTIR   MENSAGEM  STANDARD    RECOMENDAR  EXECUCAO  REPORT RSVARDOC610    SO ACEITAR  ENCERRAMENTO  CHAMAR   TELA  EVIDENCIACAO   REPORT  EXECUTAR   ERRAR NAO   CORRIGIR    EXECUCAO  REPORT  ERRAR  CORRIGIR ,2
SERVICO LENTAR  BUROCRATICO ,2
  BOM ATENDIMENTO  CHAMAR  POREM  ORIENTACAO NAO FUNCIONAR ,0
 RESOLVER   EFETUAR DESPACHAR   INFORMACAO ,0
 RESOLVER   EFETUAR DESPACHAR   INFORMACAO ,0
 PARIR TROCAR  RAMAL 7066524 PELAR RAMAL 7042797  NAO  PARIR INSERIR   RAMAL ,2
FELICIANO REALIZAR SUAR ATIVIDADE ORGANIZADAMENTE   ATENDER    FICAR ATISFEITOS  SUAR ATUACAO ,1
SOLICITACAO APROVAR DIA 0106  ATENDIDO DIA 0506  ACHEI MTO  PARIR SOLUCAO  PROBLEMA SIMPLES ,2
OBRIGAR PELAR ELOCIDADE  ATENDIMENTO ,1
 INSATISFEITO DEVIDO  DEMORA  ATENDIMENTO,2
,1
 PROBLEMA PERSISTIR   GERAR  RELATORIO  ACOMPANHAMENTO  PROJETOS,2
ATENDIMENTO CORDIAL  PRECISAR ,1
 NOTO   REFERIR  EQUIPAR  DESIGNACAO  DEMOU QUASE 1 SEMANA PARIR ENCAMINHAR  CHAMAR PARIR  EQUIPAR TECNICO  SOLUCIONAR RAPIDAMENTE  ATENDIMENTO ,2
GOSTARIA  DESTACAR  EMPENHAR  TECNICO  DEIXAR  COMPUTADOR OPERAR  APESAR    DIFICULDADE   MAQUINA  SEMP TOSHIBA   IMPOR     COLEGA PERCEBER N  TECNICO   COMPROMETIMENTE  PREOCUPACAO   USUARIO   POSSIVEL GOSTAR   REGISTRAR  ELOGIAR   TECNICO PELAR SUAR POSTURAR DIFERENCIAR ,1
PARABENS  EQUIPAR PELAR PRONTO ATENDIMENTO ,1
ATENDIMENTO    JOSE    PARABEM,1
AGRADECO  PRONTO ATENDIMENTO ,1
HOUVE NECESSIDADE  APROVACAO PREVIO  ADMINISTRADOR  SOFTWARE ,0
OTIMO ATENDIMENTO ,1
AGUARDANDO  CONCLUSAO  DEVOLUCAO ,2
SERVICO   EXTREMO EFICIENCIA PRESTAR   RECURSO  TIC   EQUIPAR   PARABEM ,1
PREZADOS   SATISFATORIO  ATENDIMENTO   NAO FICAR AGUARDAR   TROCAR  PRODUTO  NAO   RENDIMENTO   TRABALHAR ,0
PROBLEMA RECORRENTE HA   2 SEMANAS  SOLUCAO ,0
 881 NAO ATENDER   HABIL    PROCURAR  ATENDIMENTO ATRAVES  SAMETIME ,0
RAPIDO  EFICIENTE ,1
 CHAMADO NAO  RESOLVIDO  PASSARAM  CHAMADO  EQUIPE  HP   DEVERIA  ATENDIDO  EQUIPE  TELEFONIA  INSATISFEITA ,2
 SOLICITAR  CANCELAMENTO  CHAVE STIC,2
BOM ATENDIMENTO   MELHOR RESOLVER   SO CHAMAR ,1
NAO  RESOLVER PELAR  ATENDENTE   PELAR ULTIMO ,2
SOLICITACAO RESOLVIDO RAPIDAMENTE  EFICACIA ,1
 PROBLEMA NAO   RAMAL   PROBLEMA   HEADSET   CHAMAR NAO  RESOLVER   APARELHAR  QUEBRAR  POREM   SATISFEITO    DESCONECTADO  APARELHAR TELEFONICO  NAO    RECLAMAR  ATENDIMENTO    SERVICO PRESTAR ,0
ERRO   ANALISE PARIR  RESOLVER,0
RECEBI  LIGACAO  TECNICO  S 9  MANHA  INFORMAR   INSTALAR  APLICATIVO  SOLICITAR  PERDI 45 MINUTO  TRABALHAR AGUARDAR  TECNICO  INSTALACAO  APOS     TECNICO  INFORMAR  NAO  EFETUAR  INSTALACAO  NAO HAVER PROCEDIMENTO  NAO  CONHECIMENTO  APLICATIVO  PEDIU DESCULPAR  FICAR        PERDI 45 MINUTO PRA NADO  GERALMENTE  TECNICO PRECISO CONSULTAR  PROCEDIMENTO ANTAR    INSTALACAO  CORRETO   EQUIVOCAR      PEDIR PARIR   OLHAR  INTERNET  APLICATIVO  DESEJAR INSTALAR     SUPORTAR PARIR ASSUNTO  INFORMATICO   ,2
EXCELENTE ATENDIMENTO  NOTA 1000  PRINCIPALMENTE  GABRIEL BRITO  LITERALKMENTESALVOU   COMPUTADOR,1
EXCELENTE ATENDIMENTO ,1
 CRIAR SIC20150108 PARIR  IMPLEMENTACAO  RESOLUCAO,0
 TRABALHAR  REALIZAR  EFICIENCIA PELAR TECNICO ,1
OTIMO,1
AGRADECO  ATENCAO  EMPENHAR  EQUIPAR  SOLUCAO  PROBLEMA ,1
RAPIDEZ  AGILIDADE,1
 SOLUCAO APRESENTAR NAO  SUFICIENTE ,2
JA  VARIO REGISTRO  RESOLVER   SINTOMA  VIDEO  ESPERAR  D     RESOLVER ,1
EXCELENTE TRABALHAR  TECNICO PABLO,1
PARABENS SERVICO PRESTAR ,1
 OBJETIVO  ATENCIOSO  ATENDENTE ,1
 PERSISTENCIA  PACIENCIA  ATENDENTE  FUNDAMENTAL PARIR   OBJETIVO FOSSAR ALCANCAR,1
RARAS PESSOA   PERSISTENCIA REQUERIDO PARIR CASO  DIFICIL       CASAR  BRUNO,1
